Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2013-06-14,137.9097,,,,,161.0,131.1275,-141.5146,22235.0784
2013-06-17,138.9746,,,PNL,138.9746,161.0,131.7842,29.9311,22406.5241
2013-06-18,140.0733,,,,,,,0.0,22406.5241
2013-06-19,138.1379,,,,,,,0.0,22406.5241
2013-06-20,134.7151,PCT-0.005,136.7942,,,163.0,130.5695,-338.8851,22067.639
2013-06-21,135.1476,,,,,163.0,130.5912,-268.3909,22138.1332
2013-06-24,133.4398,,,,,163.0,130.5912,-546.7574,21859.7667
2013-06-25,134.7228,,,,,163.0,130.8021,-337.6349,22068.8892
2013-06-26,136.0567,,,,,163.0,130.9343,-120.2141,22286.31
2013-06-27,136.8553,,,PNL,136.8553,163.0,131.2634,9.9675,22416.4916
2013-06-28,136.2946,,,,,,,0.0,22416.4916
2013-07-01,137.0932,,,,,,,0.0,22416.4916
2013-07-02,136.9657,,,,,,,0.0,22416.4916
2013-07-03,137.0252,,,,,,,0.0,22416.4916
2013-07-05,138.5036,,,,,,,0.0,22416.4916
2013-07-08,139.2937,,,,,,,0.0,22416.4916
2013-07-09,140.2962,,,,,,,0.0,22416.4916
2013-07-10,140.3472,,,,,,,0.0,22416.4916
2013-07-11,142.2588,,,,,,,0.0,22416.4916
2013-07-12,142.3183,,,,,,,0.0,22416.4916
2013-07-15,142.862,,,,,,,0.0,22416.4916
2013-07-16,142.3268,,,,,,,0.0,22416.4916
2013-07-17,142.6921,,,,,,,0.0,22416.4916
2013-07-18,143.4737,,,,,,,0.0,22416.4916
2013-07-19,143.7287,,,,,,,0.0,22416.4916
2013-07-22,144.009,,,,,,,0.0,22416.4916
2013-07-23,143.7031,,,,,,,0.0,22416.4916
2013-07-24,143.1764,,,,,,,0.0,22416.4916
2013-07-25,143.5247,,,,,,,0.0,22416.4916
2013-07-26,143.6777,,,,,,,0.0,22416.4916
2013-07-29,143.2359,,,,,,,0.0,22416.4916
