+------------+--------+----------+--------+----------+--------+----------+-----------+----------+----------+
|    Date    |  Close | InSignal |  Entry | ExSignal |   Exit | Position | StopLevel |      MTM |   Equity |
| 2022-10-19 | 368.50 |          |        |          |        |       75 |    327.99 |  -534.00 | 27735.00 |
| 2022-10-20 | 365.41 |          |        |          |        |       75 |    327.99 |  -765.75 | 27503.25 |
| 2022-10-21 | 374.29 |          |        |  EXPIRY  | 374.29 |       75 |    327.99 |   -99.75 | 28169.25 |
| 2022-10-24 | 378.87 |   LEX    | 375.89 |   PNL    | 378.87 |       74 |    325.02 |   220.52 | 28389.77 |
| 2022-10-25 | 384.92 |          |        |          |        |          |           |          | 28389.77 |
| 2022-10-26 | 382.02 |   LEX    | 381.62 |   PNL    | 382.02 |       74 |    337.05 |    29.60 | 28419.37 |
| 2022-10-27 | 379.98 |   LEX    | 383.07 |          |        |       74 |    336.72 |  -228.66 | 28190.71 |
| 2022-10-28 | 389.02 |          |        |   PNL    | 389.02 |       74 |    343.85 |   440.30 | 28859.67 |
| 2022-10-31 | 386.21 |   LEX    | 386.44 |          |        |       74 |    344.91 |   -17.02 | 28842.65 |
| 2022-11-01 | 384.52 |          |        |          |        |       74 |    348.32 |  -142.08 | 28717.59 |
| 2022-11-02 | 374.87 |          |        |          |        |       74 |    349.70 |  -856.18 | 28003.49 |
| 2022-11-03 | 371.01 |          |        |          |        |       74 |    351.26 | -1141.82 | 27717.85 |
| 2022-11-04 | 376.35 |          |        |          |        |       74 |    353.87 |  -746.66 | 28113.01 |
| 2022-11-07 | 379.95 |          |        |          |        |       74 |    355.06 |  -480.26 | 28379.41 |
| 2022-11-08 | 382.00 |          |        |          |        |       74 |    356.08 |  -328.56 | 28531.11 |
| 2022-11-09 | 374.13 |          |        |          |        |       74 |    356.78 |  -910.94 | 27948.73 |
| 2022-11-10 | 394.69 |          |        |   PNL    | 394.69 |       74 |    361.46 |   610.50 | 29470.17 |
| 2022-11-11 | 398.51 |   LEX    | 395.59 |   PNL    | 398.51 |       74 |    365.62 |   216.08 | 29686.25 |
| 2022-11-14 | 395.12 |   LEX    | 396.66 |          |        |       74 |    366.28 |  -113.96 | 29572.29 |
| 2022-11-15 | 398.49 |          |        |   PNL    | 398.49 |       74 |    367.94 |   135.42 | 29821.67 |
| 2022-11-16 | 395.45 |          |        |          |        |          |           |          | 29821.67 |
| 2022-11-17 | 394.24 |          |        |          |        |          |           |          | 29821.67 |
| 2022-11-18 | 396.03 |          |        |          |        |          |           |          | 29821.67 |
| 2022-11-21 | 394.59 |          |        |          |        |          |           |          | 29821.67 |
| 2022-11-22 | 399.90 |          |        |          |        |          |           |          | 29821.67 |
