Date,Close,InSignal,Entry,ExSignal,Exit,Position,StopLevel,MTM,Equity
2012-01-26,108.5562,,,,,,,0.0,20477.9719
2012-01-27,108.5068,,,,,,,0.0,20477.9719
2012-01-30,108.1364,,,,,,,0.0,20477.9719
2012-01-31,108.0952,,,,,,,0.0,20477.9719
2012-02-01,109.0419,,,,,,,0.0,20477.9719
2012-02-02,109.2147,,,,,,,0.0,20477.9719
2012-02-03,110.7458,,,,,,,0.0,20477.9719
2012-02-06,110.6717,,,,,,,0.0,20477.9719
2012-02-07,110.9515,,,,,,,0.0,20477.9719
2012-02-08,111.2808,,,,,,,0.0,20477.9719
2012-02-09,111.4207,,,,,,,0.0,20477.9719
2012-02-10,110.5976,,,,,,,0.0,20477.9719
2012-02-13,111.4207,,,,,,,0.0,20477.9719
2012-02-14,111.2808,,,,,,,0.0,20477.9719
2012-02-15,110.7622,,,,,,,0.0,20477.9719
2012-02-16,111.9887,,,,,,,0.0,20477.9719
2012-02-17,112.285,,,,,,,0.0,20477.9719
2012-02-21,112.3344,,,,,,,0.0,20477.9719
2012-02-22,111.9722,,,,,,,0.0,20477.9719
2012-02-23,112.4661,LEX,111.9146,PNL,112.4661,182.0,102.8559,100.3726,20578.3446
2012-02-24,112.7131,,,,,,,0.0,20578.3446
2012-02-27,112.9024,,,,,,,0.0,20578.3446
2012-02-28,113.2316,,,,,,,0.0,20578.3446
2012-02-29,112.7872,,,,,,,0.0,20578.3446
2012-03-01,113.3716,,,,,,,0.0,20578.3446
2012-03-02,113.0258,,,,,,,0.0,20578.3446
2012-03-05,112.5649,,,,,,,0.0,20578.3446
2012-03-06,110.9186,LEX,111.4125,,,184.0,103.5253,-90.8765,20487.468
2012-03-07,111.6924,,,PNL,111.6924,184.0,104.1334,51.5063,20629.8509
2012-03-08,112.8036,,,,,,,0.0,20629.8509
2012-03-09,113.2399,,,,,,,0.0,20629.8509
2012-03-12,113.2481,,,,,,,0.0,20629.8509
2012-03-13,115.2895,,,,,,,0.0,20629.8509
2012-03-14,115.166,,,,,,,0.0,20629.8509
2012-03-15,115.8328,,,,,,,0.0,20629.8509
2012-03-16,115.9931,,,,,,,0.0,20629.8509
2012-03-19,116.4479,,,,,,,0.0,20629.8509
2012-03-20,116.1089,,,,,,,0.0,20629.8509
2012-03-21,115.9188,,,,,,,0.0,20629.8509
2012-03-22,115.0837,,,,,,,0.0,20629.8509
2012-03-23,115.4558,LEX,115.183,PNL,115.4558,179.0,108.619,48.8332,20678.6841
2012-03-26,117.0762,,,,,,,0.0,20678.6841
2012-03-27,116.7124,,,,,,,0.0,20678.6841
2012-03-28,116.1337,,,,,,,0.0,20678.6841
2012-03-29,115.9353,LEX,115.4475,PNL,115.9353,179.0,109.4106,87.3132,20765.9973
